category,description,image_url,name,price,url
ميم ماركت,,https://meem.market/image/cache/catalog/meem/99855-500x500.jpg,فاين بيبي 84 حفاضة مقاس وسط (3),0.0,https://meem.market/index.php?route=product/product&path=82&product_id=1020
الغذائي,,https://meem.market/image/cache/catalog/Nutritional/snacks/20389-12-500x500.jpg,كتكو نايس رقائق البطاطس بالبهارات الحارة 45 جرام,0.0,https://meem.market/index.php?route=product/product&path=122&product_id=2917
الغذائي,,https://meem.market/image/cache/catalog/Nutritional/snacks/20389-11-500x500.jpg,كتكو نايس رقائق البطاطس بنكهة البابريكا 45 جم,0.0,https://meem.market/index.php?route=product/product&path=122&product_id=2916
مستلزمات الطبخ,,https://meem.market/image/cache/catalog/Nutritional/Oils/20459-9-500x500.jpg,زيت زيتون بكر الراقي 2*250مل,0.0,https://meem.market/index.php?route=product/product&path=122&product_id=2914
الغذائي,,https://meem.market/image/cache/catalog/Nutritional/snacks/20389-18-500x500.jpg,كتكو نايس رقائق البطاطس بنكهة الخل والملح 110 جم,0.0,https://meem.market/index.php?route=product/product&path=122&product_id=2913
Uncategorized,,https://meem.market/image/cache/catalog/AB-10818-500x500.jpg,لعبة عروسة حجم كبير,0.0,https://meem.market/index.php?route=product/product&path=18&product_id=4755
Uncategorized,,https://meem.market/image/cache/catalog/AB-10993-500x500.jpg,باكت تخريز,0.0,https://meem.market/index.php?route=product/product&path=18&product_id=4690
Uncategorized,,https://meem.market/image/cache/catalog/AB-11040-500x500.jpg,لعبة اطفاء و طيارة,0.0,https://meem.market/index.php?route=product/product&path=18&product_id=4689
Uncategorized,,https://meem.market/image/cache/catalog/AB-10598-500x500.jpg,العاب جماعية متنوعة,0.0,https://meem.market/index.php?route=product/product&path=18&product_id=4687
ميم هوم,,https://meem.market/image/cache/catalog/Product%20/Decor%20and%20Aniqats/KHM-14479%20(1)-500x500.jpg,حامل شمع ذهبي زجاجتي#KHM-14479,0.0,https://meem.market/index.php?route=product/product&path=25&product_id=464
ميم هوم,,https://meem.market/image/cache/catalog/Product%20/Decor%20and%20Aniqats/005332%20(3)-500x500.jpg,حامل أكسسوارات مع مرآة إطار ذهبي #005332,0.0,https://meem.market/index.php?route=product/product&path=25&product_id=463
ميم هوم,,https://meem.market/image/cache/catalog/Product%20/Home%20Furniture%20/2230%20(1)-500x500.jpg,طقم سلة حديد قماش فضي #2230,0.0,https://meem.market/index.php?route=product/product&path=25&product_id=377
ميم هوم,,https://meem.market/image/cache/catalog/Product%20/Home%20Furniture%20/2134%20(4)-500x500.jpg,طقم صندوق حديد قماش لون رصاصي #2134,0.0,https://meem.market/index.php?route=product/product&path=25&product_id=372
مفروشات العز,,https://meem.market/image/cache/catalog/meem/BL-B40P-WPFBB53%20(2)-500x500.jpg,بطانية كوين فرو ناعم 150×200 سم,0.0,https://meem.market/index.php?route=product/product&path=17&product_id=1198
مفروشات العز,,https://meem.market/image/cache/catalog/meem/TH-B40P-WPFBB52%20(2)-500x500.jpg,بطانية سنجل فرو ناعم 130×160 سم,0.0,https://meem.market/index.php?route=product/product&path=17&product_id=1196
Uncategorized,,https://meem.market/image/cache/catalog/%20العز/72-500x500.jpeg,بطانية كوين مخمل فرو 170×230 سم,0.0,https://meem.market/index.php?route=product/product&path=17&product_id=576
مفروشات العز,,https://meem.market/image/cache/catalog/%20العز/17-500x500.jpeg,طقم لحاف شتوى كينج 4 حبة,0.0,https://meem.market/index.php?route=product/product&path=17&product_id=579
إلكتوفيجن,,https://meem.market/image/cache/catalog/ELECTOVISION%202/72-500x500.jpg,صانع ساندويتش كليكون ٧٥� واط,0.0,https://meem.market/index.php?route=product/product&path=24&product_id=2879
إلكتوفيجن,,https://meem.market/image/cache/catalog/ELECTOVISION%202/69-500x500.jpg,صانع ساندوتش كليكون ١٤٠� واط,0.0,https://meem.market/index.php?route=product/product&path=24&product_id=2878
Uncategorized,,https://meem.market/image/cache/catalog/ELECTOVISION/66-500x500.jpg,عصار حمضيات ٩� وات,0.0,https://meem.market/index.php?route=product/product&path=24&product_id=2877
إلكتوفيجن,,https://meem.market/image/cache/catalog/ELECTOVISION/EM-TP12-W3-500x500.jpeg,شارب - خلاط 2×1 متعدد الاستخدام 1.5 لتر 400 واط,0.0,https://meem.market/index.php?route=product/product&path=24&product_id=2438
ميم ماركت,,https://meem.market/image/cache/catalog/meem/80118%20(2)-500x500.jpg,كويك مطهر ومنظف الارضيات برائحة الصنوبر 4 لتر,0.0,https://meem.market/index.php?route=product/product&path=82&product_id=850
ميم ماركت,,https://meem.market/image/cache/catalog/meem/67883535%20(2)-500x500.jpg,كومفورت سائل منعم الاقمشة 2 لتر,0.0,https://meem.market/index.php?route=product/product&path=82&product_id=827
ميم ماركت,,https://meem.market/image/cache/catalog/meem/NA02-1-500x500.jpg,معطر فورزان الاسباني الوردي 125 مل,0.0,https://meem.market/index.php?route=product/product&path=82&product_id=826
ميم ماركت,,https://meem.market/image/cache/catalog/meem/2585350-2%20(1)-500x500.jpg,بيرت بلاس شامبو الشعر بزيت اللوز للشعر الطويل 1 لتر,0.0,https://meem.market/index.php?route=product/product&path=82&product_id=817
ميم ماركت,,https://meem.market/image/cache/catalog/meem/2585350%20(1)-500x500.jpg,برتي بلاس شامبو الشعر عناية يومية 1 لتر,0.0,https://meem.market/index.php?route=product/product&path=82&product_id=815
ميم ماركت,,https://meem.market/image/cache/catalog/meem/NA02%20(1)-500x500.jpg,معطر فورزان الاسباني الابيض 125 مل,0.0,https://meem.market/index.php?route=product/product&path=82&product_id=814
ميم ماركت,,https://meem.market/image/cache/catalog/hair%20care/2492819-500x500.jpg,بيرت شامبو بزيت الزيتون 600 مل,0.0,https://meem.market/index.php?route=product/product&path=82&product_id=809
ميم ماركت,,https://meem.market/image/cache/catalog/meem/2312107-500x500.jpg,داك بخاخ منظف الزجاج 650 مل 2 حبة + 400 مل,0.0,https://meem.market/index.php?route=product/product&path=82&product_id=807
ميم ماركت,,https://meem.market/image/cache/catalog/meem/3012G-500x500.jpg,جرين فورست سائل غسيل الصحون 1 لتر 3 حبة,0.0,https://meem.market/index.php?route=product/product&path=82&product_id=801
الغذائي,,https://meem.market/image/cache/catalog/Nutritional/snacks/20389-19-500x500.jpg,كتكو نايس رقائق البطاطس بالبهارات الحارة 110 جم,0.0,https://meem.market/index.php?route=product/product&path=122&product_id=2912
الغذائي,,https://meem.market/image/cache/catalog/Nutritional/snacks/20389-20-500x500.jpg,كتكو نايس رقائق البطاطس بنكهة البابريكا 110 جم,0.0,https://meem.market/index.php?route=product/product&path=122&product_id=2911
الغذائي,,https://meem.market/image/cache/catalog/Nutritional/snacks/20389-17-500x500.jpg,كتكو نايس رقائق البطاطس قليل الملح 110 جم,0.0,https://meem.market/index.php?route=product/product&path=122&product_id=2910
الغذائي,,https://meem.market/image/cache/catalog/Nutritional/snacks/20389-21-500x500.jpg,كتكو نايس رقائق البطاطس بالكمأة السوداء 110جم,0.0,https://meem.market/index.php?route=product/product&path=122&product_id=2909
الغذائي,,https://meem.market/image/cache/catalog/Nutritional/snacks/20389-22-500x500.jpg,كتكو نايس رقائق البطاطس قليل الملح210 جم,0.0,https://meem.market/index.php?route=product/product&path=122&product_id=2908
الغذائي,,https://meem.market/image/cache/catalog/Nutritional/20389-27-500x500.jpg,كتكو نايس رقائق البطاطس بالكتشب 210 جرام,0.0,https://meem.market/index.php?route=product/product&path=122&product_id=2907
الغذائي,,https://meem.market/image/cache/catalog/Nutritional/snacks/20389-26-500x500.jpg,كتكو نايس رقائق البطاطس بالبهارات الحارة 210 جرام,0.0,https://meem.market/index.php?route=product/product&path=122&product_id=2906
الغذائي,,https://meem.market/image/cache/catalog/Nutritional/snacks/20389-24-500x500.jpg,كتكو نايس رقائق البطاطس بنكهة الدجاج 210 جم,0.0,https://meem.market/index.php?route=product/product&path=122&product_id=2905
الغذائي,,https://meem.market/image/cache/catalog/Nutritional/20389-23-500x500.jpg,كتكو نايس رقائق البطاطس بنكهة الخل والملح 210 جم,0.0,https://meem.market/index.php?route=product/product&path=122&product_id=2904
الغذائي,,https://meem.market/image/cache/catalog/Nutritional/20400-22661002%20%20%201-500x500.jpg,تشيبس أهوي كوكيز الشوكولاتة الأصلي 128 جم,0.0,https://meem.market/index.php?route=product/product&path=122&product_id=2902
الغذائي,,https://meem.market/image/cache/catalog/Nutritional/20400-22641045-500x500.jpg,كادبوري بسكويت أوريو مغطى بالشوكولاتة 31.3 جم,0.0,https://meem.market/index.php?route=product/product&path=122&product_id=2900
الغذائي,,https://meem.market/image/cache/catalog/Nutritional/0446-22140114-500x500.jpg,اولكر البيني اصبع بالكراميل وبسكويت مغطاه بشكولاته الحليب31 غ,0.0,https://meem.market/index.php?route=product/product&path=122&product_id=2899
الغذائي,,https://meem.market/image/cache/catalog/Nutritional/20400-22501094-500x500.jpg,كادبوري شوكو ديلايت 34جم,0.0,https://meem.market/index.php?route=product/product&path=122&product_id=2898
الغذائي,,https://meem.market/image/cache/catalog/Nutritional/BT999-143%20%20%20-1-500x500.jpg,بريتانيا شابورة بالقمح 610غم,0.0,https://meem.market/index.php?route=product/product&path=122&product_id=2895
الغذائي,,https://meem.market/image/cache/catalog/Nutritional/Sweet%20Snacks/20446-22140406-500x500.jpg,اوكلر شوكوسندوتش بالشوكولاتة والبندق 30غم,0.0,https://meem.market/index.php?route=product/product&path=122&product_id=2894
Uncategorized,,https://meem.market/image/cache/catalog/SHD300623-500x500.jpg,لعبة عروسة,0.0,https://meem.market/index.php?route=product/product&path=18&product_id=4685
Uncategorized,,https://meem.market/image/cache/catalog/AB-10848-500x500.jpg,لعبة جيتار البطة,0.0,https://meem.market/index.php?route=product/product&path=18&product_id=4683
Uncategorized,,https://meem.market/image/cache/catalog/AB-10202-500x500.jpg,لعبة بندقية بطلقات متنوعة,0.0,https://meem.market/index.php?route=product/product&path=18&product_id=4681
Uncategorized,,https://meem.market/image/cache/catalog/AZ-10324-500x500.jpg,لعبة مسدس,0.0,https://meem.market/index.php?route=product/product&path=18&product_id=4680
Uncategorized,,https://meem.market/image/cache/catalog/CR-119-500x500.jpg,لعبة عروسة,0.0,https://meem.market/index.php?route=product/product&path=18&product_id=4678
Uncategorized,,https://meem.market/image/cache/catalog/AB-10939-500x500.jpg,لعبة ادوات مطبخ,0.0,https://meem.market/index.php?route=product/product&path=18&product_id=4677
Uncategorized,,https://meem.market/image/cache/catalog/AB-10988-500x500.jpg,لعبة سيارة شرطة بصوت واضاءات,0.0,https://meem.market/index.php?route=product/product&path=18&product_id=4674
Uncategorized,,https://meem.market/image/cache/catalog/AB-10135-500x500.jpg,لعبة تنس طاولة,0.0,https://meem.market/index.php?route=product/product&path=18&product_id=4672
Uncategorized,,https://meem.market/image/cache/catalog/DREAM%20TOYS/216-500x500.jpg,لبعة دكتور للأطفال,0.0,https://meem.market/index.php?route=product/product&path=18&product_id=2847
Uncategorized,,https://meem.market/image/cache/catalog/DREAM%20TOYS/215-500x500.jpg,لعبة موتسيكل للأطفال,0.0,https://meem.market/index.php?route=product/product&path=18&product_id=2846
Uncategorized,,https://meem.market/image/cache/catalog/DREAM%20TOYS/213-500x500.jpg,لعبة جيتار للأطفال,0.0,https://meem.market/index.php?route=product/product&path=18&product_id=2845
Uncategorized,,https://meem.market/image/cache/catalog/DREAM%20TOYS/207-500x500.jpg,مجموعة شخشيخة 5 قطع,0.0,https://meem.market/index.php?route=product/product&path=18&product_id=2842
Uncategorized,,https://meem.market/image/cache/catalog/%20ريم%20/BBC3342%20(2)-500x500.jpg,دراجة هوائية 26 بوصة,0.0,https://meem.market/index.php?route=product/product&path=18&product_id=1489
Uncategorized,,https://meem.market/image/cache/catalog/%20ريم%20/CS-1001%20(3)-500x500.jpg,لعبة مسدس,0.0,https://meem.market/index.php?route=product/product&path=18&product_id=1245
Uncategorized,,https://meem.market/image/cache/catalog/%20ريم%20/21263%20(2)-500x500.jpg,لعبة طاولة وشطرنج 3×1,0.0,https://meem.market/index.php?route=product/product&path=18&product_id=699
ميم هوم,,https://meem.market/image/cache/catalog/Product%20/Decor%20and%20Aniqats/003205%20(2)-500x500.jpg,مزهرية سيراميك لون أسود وذهبي #003205,0.0,https://meem.market/index.php?route=product/product&path=25&product_id=340
ميم هوم,,https://meem.market/image/cache/catalog/Product%20/Decor%20and%20Aniqats/004502%20(1)-500x500.jpg,مزهرية سيراميك لون أخضر وذهبي #004502,0.0,https://meem.market/index.php?route=product/product&path=25&product_id=338
ميم هوم,,https://meem.market/image/cache/catalog/Product%20/Decor%20and%20Aniqats/003215%20(1)-500x500.jpg,مزهرية سيراميك لون ذهبي #003215,0.0,https://meem.market/index.php?route=product/product&path=25&product_id=332
ميم هوم,,https://meem.market/image/cache/catalog/Product%20/Decor%20and%20Aniqats/004399%20(2)-500x500.jpg,مزهرية سيراميك لون ذهبي #004399,0.0,https://meem.market/index.php?route=product/product&path=25&product_id=321
ميم هوم,,https://meem.market/image/cache/catalog/Product%20/Decor%20and%20Aniqats/004497%20(2)-500x500.jpg,مزهرية سيراميك لون أبيض وذهبي #004497,0.0,https://meem.market/index.php?route=product/product&path=25&product_id=320
ميم هوم,,https://meem.market/image/cache/catalog/Product%20/Decor%20and%20Aniqats/003770%20(3)-500x500.jpg,حامل أكسسوارات لون ذهبي #003770,0.0,https://meem.market/index.php?route=product/product&path=25&product_id=316
ميم هوم,,https://meem.market/image/cache/catalog/Product%20/Home%20Furniture%20/1331%20(3)-500x500.jpg,طقم صندوق حديد قماش بني,0.0,https://meem.market/index.php?route=product/product&path=25&product_id=299
ميم هوم,,https://meem.market/image/cache/catalog/Product%20/Decor%20and%20Aniqats/golden%20candle%20holder(3)-500x500.jpg,شمعدان معدن لون ذهبي,0.0,https://meem.market/index.php?route=product/product&path=25&product_id=211
ميم هوم,,https://meem.market/image/cache/catalog/Product%20/golden%20candle%20holder(1)-500x500.jpg,حامل شمع ذهبي,0.0,https://meem.market/index.php?route=product/product&path=25&product_id=183
ميم هوم,,https://meem.market/image/cache/catalog/Product%20/Decor%20and%20Aniqats/Vase%20rose%20gold%20face(3)-500x500.jpg,مزهرية ورد شكل وجة لون ذهبي #025110503022,0.0,https://meem.market/index.php?route=product/product&path=25&product_id=181
ميم هوم,,https://meem.market/image/cache/catalog/Product%20/Decor%20and%20Aniqats/gilded%20visas%20vase(1)-500x500.jpg,مزهرية لون ذهبي على شكل وجه,0.0,https://meem.market/index.php?route=product/product&path=25&product_id=179
ميم هوم,,https://meem.market/image/cache/catalog/Product%20/Decor%20and%20Aniqats/White%20rose%20vase(1)-500x500.png,مزهرية ذهبي على شكل وجة #025110503023,0.0,https://meem.market/index.php?route=product/product&path=25&product_id=176
Uncategorized,,https://meem.market/image/cache/catalog/Product%20/Rose%20and%20Plants/white%20face%20vase%20(3)-500x500.jpg,مزهرية فيس ابيض #025110503012,0.0,https://meem.market/index.php?route=product/product&path=25&product_id=136
ميم هوم,,https://meem.market/image/cache/catalog/Product%20/Decor%20and%20Aniqats/2%20copy-500x500.jpg,مزهرية ذهبي على شكل وجة,0.0,https://meem.market/index.php?route=product/product&path=25&product_id=133
ميم هوم,,https://meem.market/image/cache/catalog/6926614400514.....%20copy-500x500.jpg,حامل شمع ذهبي,0.0,https://meem.market/index.php?route=product/product&path=25&product_id=103
مفروشات العز,,https://meem.market/image/cache/catalog/%20العز/477-500x500.jpg,طقم لحاف شتوى كينج 3حبة,0.0,https://meem.market/index.php?route=product/product&path=17&product_id=585
مفروشات العز,,https://meem.market/image/cache/catalog/%20العز/144-500x500.jpg,بطانية كنج جاكار سادة 220×240سم لون وردي,0.0,https://meem.market/index.php?route=product/product&path=17&product_id=583
مفروشات العز,,https://meem.market/image/cache/catalog/23017039-500x500.jpg,طقم لحاف مشجر 6 قطع,0.0,https://meem.market/index.php?route=product/product&path=17&product_id=4775
مفروشات العز,,https://meem.market/image/cache/catalog/23018051-500x500.jpg,طقم لحاف سادة 9 قطع,0.0,https://meem.market/index.php?route=product/product&path=17&product_id=4774
مفروشات العز,,https://meem.market/image/cache/catalog/23017039-500x500.jpg,طقم لحاف مشجر 6 قطع,0.0,https://meem.market/index.php?route=product/product&path=17&product_id=4773
مفروشات العز,,https://meem.market/image/cache/catalog/%20العز/12-500x500.jpg,فوط 6 حبه 30*50 سم,0.0,https://meem.market/index.php?route=product/product&path=17&product_id=2561
